dataset,permutation_mode,run_id,predicted_algo,ari_cal,ari_sil,stable_prediction
Vehicle,row,7,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,7,gaussian,0.04902833726416902,0.04902833726416902,False
WineQualityRed,row,7,spectral_clustering,-0.0029351829466449635,0.07158813151247184,True
BreastTissue,row,8,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,8,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,8,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,8,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,8,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,8,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,8,gaussian,0.019079072554486827,0.019079072554486827,True
Vehicle,row,8,spectral_clustering,0.11081511715897753,0.08690505725752318,True
VertebralColumn,row,8,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,8,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
BreastTissue,row,9,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,9,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,9,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,9,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,9,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,9,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,9,gaussian,0.019714580264406603,0.019714580264406603,True
Vehicle,row,9,spectral_clustering,0.10856510836798841,0.08690505725752318,True
VertebralColumn,row,9,gaussian,0.04902833726416902,0.04902833726416902,False
WineQualityRed,row,9,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
BreastTissue,row,10,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,10,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,10,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,10,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,10,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,10,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,10,gaussian,0.009239170955189493,0.009239170955189493,True
Vehicle,row,10,gaussian,0.08776256054027652,0.08394680625202994,False
VertebralColumn,row,10,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,10,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
BreastTissue,row,11,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,11,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,11,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,11,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,11,gaussian,0.5681159420289855,0.5681159420289855,False
Parkinsons,row,11,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,11,gaussian,0.013172284067003453,0.013172284067003453,True
Vehicle,row,11,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,11,gaussian,0.04902833726416902,0.04902833726416902,False
WineQualityRed,row,11,gaussian,0.08284550950942081,0.0883542007348049,False
BreastTissue,row,12,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,12,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,12,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,12,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,12,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,12,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,12,spectral_clustering,-0.09223772146299765,-0.026854671217118008,False
Vehicle,row,12,gaussian,0.08776256054027652,0.08776256054027652,False
VertebralColumn,row,12,gaussian,0.04902833726416902,0.04902833726416902,False
WineQualityRed,row,12,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
BreastTissue,row,13,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,13,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,13,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,13,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,13,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,13,gaussian,0.12184138103577684,0.12184138103577684,True
Transfusion,row,13,gaussian,-0.029073536943568186,0.010812988542834748,True
Vehicle,row,13,spectral_clustering,0.10856510836798841,0.08690505725752318,True
VertebralColumn,row,13,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,13,spectral_clustering,0.061143485382584656,-0.0029351829466449635,True
BreastTissue,row,14,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,14,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,14,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,14,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,14,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,14,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,14,gaussian,0.01145849467289969,0.01145849467289969,True
Vehicle,row,14,spectral_clustering,0.10856510836798841,0.08690505725752318,True
VertebralColumn,row,14,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,14,spectral_clustering,0.061689244453558036,-0.0029351829466449635,True
BreastTissue,row,15,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,15,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,15,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,15,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,15,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,15,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,15,gaussian,0.0131436064119293,0.0131436064119293,True
Vehicle,row,15,spectral_clustering,0.11081511715897753,0.08690505725752318,True
VertebralColumn,row,15,gaussian,0.04902833726416902,0.04902833726416902,False
WineQualityRed,row,15,spectral_clustering,-0.0029351829466449635,-0.0029351829466449635,True
BreastTissue,row,16,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,16,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,16,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,16,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,16,gaussian,0.5681159420289855,0.5681159420289855,False
Parkinsons,row,16,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,16,gaussian,-0.02911387807989949,-0.02911387807989949,True
Vehicle,row,16,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,16,gaussian,0.04902833726416902,0.04902833726416902,False
WineQualityRed,row,16,spectral_clustering,0.061689244453558036,-0.0029351829466449635,True
BreastTissue,row,17,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,17,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,17,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,17,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,17,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,17,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,17,gaussian,0.011189467716350775,0.01839595019411951,True
Vehicle,row,17,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,17,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,17,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
BreastTissue,row,18,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,18,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,18,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,18,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,18,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,18,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,18,gaussian,0.012746590431894148,0.012746590431894148,True
Vehicle,row,18,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,18,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,18,gaussian,0.08671028813130968,0.08807595659400623,False
BreastTissue,row,19,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,19,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,19,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,19,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,19,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,19,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,19,gaussian,0.011549678579293277,0.011549678579293277,True
Vehicle,row,19,spectral_clustering,0.1096799656043948,0.08690505725752318,True
VertebralColumn,row,19,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,19,spectral_clustering,0.06106003288598606,0.07158813151247184,True
BreastTissue,row,20,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,20,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,20,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,20,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,20,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,20,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,20,gaussian,0.012850324632118678,0.022035018193995032,True
Vehicle,row,20,spectral_clustering,0.10856510836798841,0.08690505725752318,True
VertebralColumn,row,20,gaussian,0.04902833726416902,0.04902833726416902,False
WineQualityRed,row,20,spectral_clustering,0.061689244453558036,-0.0029351829466449635,True
BreastTissue,row,21,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,21,dbscan,0.49319935169270396,0.49319935169270396,True
Glass,row,21,dbscan,0.24529364187700725,0.24529364187700725,True
Haberman,row,21,gaussian,0.10399787130992173,0.10399787130992173,True
Iris,row,21,spectral_clustering,0.5681159420289855,0.5681159420289855,True
Parkinsons,row,21,gaussian,0.05135036104397965,0.12184138103577684,True
Transfusion,row,21,gaussian,0.01664536130480172,0.01664536130480172,True
Vehicle,row,21,gaussian,0.08776256054027652,0.08776256054027652,False
VertebralColumn,row,21,dbscan,0.3668643110201198,0.3668643110201198,True
WineQualityRed,row,21,spectral_clustering,0.06106003288598606,-0.0029351829466449635,True
BreastTissue,row,22,dbscan,0.268213715336592,0.268213715336592,True
Ecoli,row,22,dbscan,0.5010894136524796,0.5010894136524796,True
Glass,row,22,dbscan,0.24529364187700725,0.24529364187700725,True
